Previous ConceptID	Current ConceptID	Date Of Action
CN130186 	C0265783	08 Jul 2012
CN130171 	C4551564	08 Jul 2012
CN130172 	C0426886	08 Jul 2012
CN130173 	C0266295	08 Jul 2012
CN130165 	C0151786	08 Jul 2012
CN130166 	C1860245	08 Jul 2012
CN130168 	C0008519	08 Jul 2012
CN130155 	C1849340	08 Jul 2012
CN130156 	C0024003	08 Jul 2012
CN130158 	C0151878	08 Jul 2012
CN130160 	C0037199	08 Jul 2012
CN130161 	C0029882	08 Jul 2012
CN130162 	C0011991	08 Jul 2012
CN130163 	C0262374	08 Jul 2012
CN130170 	C0079924	08 Jul 2012
CN130144 	C0221182	08 Jul 2012
CN130146 	C0426970	08 Jul 2012
CN130147 	C0003962	08 Jul 2012
CN130148 	C0040761	08 Jul 2012
CN130149 	C0151786	08 Jul 2012
CN130150 	C0151611	08 Jul 2012
CN130151 	C0338502	08 Jul 2012
CN130152 	C1845447	08 Jul 2012
CN130153 	C0454642	08 Jul 2012
CN130138 	C0003578	08 Jul 2012
CN130140 	C0002871	08 Jul 2012
CN130141 	C0011175	08 Jul 2012
CN130142 	C0009319	08 Jul 2012
CN130131 	C0020676	08 Jul 2012
CN130132 	C0235946	08 Jul 2012
CN130134 	C0239234	08 Jul 2012
CN130136 	C0009806	08 Jul 2012
CN130122 	C1839710	08 Jul 2012
CN130124 	C0456070	08 Jul 2012
CN130125 	C0004134	08 Jul 2012
CN130126 	C0085583	08 Jul 2012
CN130127 	C0265908	08 Jul 2012
CN130113 	C0080174	08 Jul 2012
CN130114 	C0015967	08 Jul 2012
CN130115 	C0004096	08 Jul 2012
CN130118 	C0020615	08 Jul 2012
CN130119 	C0685381	08 Jul 2012
CN130111 	C0240635	08 Jul 2012
CN130109 	C0019572	08 Jul 2012
CN130101 	C0018818	08 Jul 2012
CN130102 	C0016522	08 Jul 2012
CN130103 	C0020224	08 Jul 2012
CN130104 	C0265677	08 Jul 2012
CN130105 	C1842060	08 Jul 2012
CN130106 	C1836542	08 Jul 2012
CN130107 	C0240635	08 Jul 2012
CN130087 	C0158646	08 Jul 2012
CN130089 	C0039075	08 Jul 2012
CN130091 	C0040433	08 Jul 2012
CN130093 	C0037317	08 Jul 2012
CN130082 	C0086543	08 Jul 2012
CN130084 	C0333068	08 Jul 2012
CN130085 	C0426848	08 Jul 2012
CN130100 	C0008297	08 Jul 2012
CN130097 	C0262630	08 Jul 2012
CN130080 	C0040034	08 Jul 2012
CN130081 	C0856747	08 Jul 2012
CN130066 	C1840319	08 Jul 2012
CN130067 	C1835580	08 Jul 2012
CN130075 	C0035229	08 Jul 2012
CN130076 	C0454644	08 Jul 2012
CN130078 	C4551649	08 Jul 2012
CN130064 	C1262477	08 Jul 2012
CN130069 	C0205929	08 Jul 2012
CN130070 	C0013336	08 Jul 2012
CN130062 	C0085584	08 Jul 2012
CN130063 	C3697248	08 Jul 2012
CN130053 	C2973725	08 Jul 2012
CN130054 	C0035353	08 Jul 2012
CN130055 	C0020295	08 Jul 2012
CN130058 	C0423109	08 Jul 2012
CN130059 	C0424711	08 Jul 2012
CN130060 	C1384666	08 Jul 2012
CN130036 	C0424295	08 Jul 2012
CN130040 	C2315100	08 Jul 2012
CN130041 	C0019294	08 Jul 2012
CN130043 	C0025990	08 Jul 2012
CN130044 	C0015934	08 Jul 2012
CN130046 	C0265660	08 Jul 2012
CN130050 	C0038454	08 Jul 2012
CN130051 	C0239998	08 Jul 2012
CN130052 	C0431478	08 Jul 2012
CN130033 	C0454641	08 Jul 2012
CN130034 	C0231712	08 Jul 2012
CN130035 	C0007789	08 Jul 2012
CN130019 	C0008924	08 Jul 2012
CN130021 	C0557874	08 Jul 2012
CN130027 	C1850573	08 Jul 2012
CN130028 	C1854301	08 Jul 2012
CN130029 	C0424503	08 Jul 2012
CN130024 	C0332890	08 Jul 2012
CN130025 	C0563243	08 Jul 2012
CN130281 	C0000772	11 Jul 2012
CN130352 	C1833296	14 Jul 2012
C1850984	No longer reported	18 Jul 2012
C1850983	No longer reported	18 Jul 2012
CN037065	C0342727	23 Jul 2012
CN077954 	C1840547	23 Jul 2012
C0241885 	C0424551	24 Jul 2012
CN130588 	C3854181	29 Jul 2012
CN074225	C0751335	03 Aug 2012
CN070027	C1868512	03 Aug 2012
CN130048 	C3665347	03 Aug 2012
CN074224	C0574083	06 Aug 2012
CN068795	C4551477	09 Aug 2012
C0025362 	C3714756	14 Aug 2012
C2931649 	No longer reported	14 Aug 2012
C0878573 	C1862322	24 Aug 2012
C1456383 	C3900122	24 Aug 2012
CN030163	No longer reported	05 Sep 2012
CN034338	No longer reported	05 Sep 2012
CN119491	C3280660	09 Sep 2012
CN122444	No longer reported	13 Sep 2012
CN074176 	C3151229	17 Sep 2012
C0949691	C0038013	20 Sep 2012
C1848174	C0574083	23 Sep 2012
C1846248	C0574083	27 Sep 2012
C1866775	C0017495	27 Sep 2012
CN029375 	C1862288	03 Oct 2012
CN029574 	C0555206	03 Oct 2012
C1840471 	C1837657	04 Oct 2012
CN029133 	C3668942	04 Oct 2012
CN029221 	C0003886	04 Oct 2012
CN029207 	C0282160	04 Oct 2012
CN158359	No longer reported	04 Oct 2012
C1832346 	C0406724	08 Oct 2012
CN072979	C0162359	09 Oct 2012
CN072808 	C0684275	11 Oct 2012
CN077972 	C1837160	12 Oct 2012
CN069919	No longer reported	12 Oct 2012
CN071991 	C3714873	15 Oct 2012
CN130271 	C0016202	16 Oct 2012
CN130266 	C0878787	16 Oct 2012
CN130263 	C0015732	16 Oct 2012
CN130258 	C0040961	16 Oct 2012
CN130238 	C2937358	16 Oct 2012
CN130214 	C0005745	16 Oct 2012
CN130204 	C0011581	16 Oct 2012
CN130197 	C0028738	16 Oct 2012
CN130174 	C0240063	16 Oct 2012
CN130157 	C0020757	16 Oct 2012
CN130139 	C2712334	16 Oct 2012
CN130121 	C0239137	16 Oct 2012
CN130112 	C0270834	16 Oct 2012
CN130095 	C0575158	16 Oct 2012
CN130094 	C0036439	16 Oct 2012
CN130071 	C0018536	16 Oct 2012
CN130068 	C0232466	16 Oct 2012
CN130042 	C0848558	16 Oct 2012
CN130038 	C0349588	16 Oct 2012
CN125029 	C2939175	16 Oct 2012
CN120497 	C0029422	16 Oct 2012
CN117966 	C3463824	16 Oct 2012
CN077736 	C2750035	16 Oct 2012
CN078130 	C0398370	16 Oct 2012
CN074288 	C0796099	16 Oct 2012
CN074275 	C0431886	16 Oct 2012
CN074270 	C4310784	16 Oct 2012
CN074262 	C2745996	16 Oct 2012
CN074235 	C2940785	16 Oct 2012
CN074217 	C2937288	16 Oct 2012
CN074205 	C1535893	16 Oct 2012
CN074202 	C2745997	16 Oct 2012
CN074190 	C0752121	16 Oct 2012
CN074165 	C3150966	16 Oct 2012
CN074109 	C3150890	16 Oct 2012
CN073648 	C0008780	16 Oct 2012
CN072987 	C0020630	16 Oct 2012
CN072146 	C0007959	16 Oct 2012
CN071542 	C1960539	16 Oct 2012
CN069735 	C0406810	16 Oct 2012
CN068378 	C3150874	16 Oct 2012
CN043610 	C0236038	16 Oct 2012
CN036638 	C0023786	16 Oct 2012
CN036417 	C2029348	16 Oct 2012
CN036263 	C2931404	16 Oct 2012
CN036251 	C0265404	16 Oct 2012
CN035910 	C2939465	16 Oct 2012
CN035784 	C0220669	16 Oct 2012
CN035657 	C2751666	16 Oct 2012
CN035645 	C2751663	16 Oct 2012
CN035612 	C2748545	16 Oct 2012
CN035558 	C2751053	16 Oct 2012
CN035500 	C2750447	16 Oct 2012
CN035499 	C2750448	16 Oct 2012
CN035498 	C2750451	16 Oct 2012
CN035469 	C2751324	16 Oct 2012
CN035457 	C2750449	16 Oct 2012
CN035456 	C2750450	16 Oct 2012
CN035435 	C4310805	16 Oct 2012
CN035146 	C0162510	16 Oct 2012
CN035030 	C0268342	16 Oct 2012
CN035016 	C1563719	16 Oct 2012
CN035009 	C0178426	16 Oct 2012
CN035000 	C0027859	16 Oct 2012
CN034894 	C0341447	16 Oct 2012
CN034847 	C1839140	16 Oct 2012
CN034834 	C4225426	16 Oct 2012
CN034554 	C1266144	16 Oct 2012
CN034507 	C0235974	16 Oct 2012
CN034397 	C2931822	16 Oct 2012
CN034362 	C0001815	16 Oct 2012
CN034209 	C3806412	16 Oct 2012
CN034078 	C0235864	16 Oct 2012
CN033998 	C1868676	16 Oct 2012
CN033827 	C0546837	16 Oct 2012
CN033599 	C0009081	16 Oct 2012
CN033524 	C4551510	16 Oct 2012
CN033343 	C0265633	16 Oct 2012
CN033333 	C4759712	16 Oct 2012
CN033029 	C0280131	16 Oct 2012
CN032387 	C1876177	16 Oct 2012
CN032227 	C4551979	16 Oct 2012
CN032044 	C0342376	16 Oct 2012
CN031695 	C0268193	16 Oct 2012
CN031598 	C2930982	16 Oct 2012
CN031438 	C0022739	16 Oct 2012
CN031410 	C0024421	16 Oct 2012
CN031408 	C2936797	16 Oct 2012
CN031276 	C0266175	16 Oct 2012
CN031236 	C0264303	16 Oct 2012
CN031206 	C1578917	16 Oct 2012
CN031170 	C0342344	16 Oct 2012
CN030802 	C0472694	16 Oct 2012
CN030190 	C0018425	16 Oct 2012
CN030142 	C1708349	16 Oct 2012
CN029902 	C0266174	16 Oct 2012
CN029864 	C0003811	16 Oct 2012
CN029805 	C0239138	16 Oct 2012
CN029333 	C0268225	16 Oct 2012
CN029238 	C1869116	16 Oct 2012
CN029162 	C2751544	16 Oct 2012
CN028875 	C0345240	16 Oct 2012
CN028847 	C0220685	16 Oct 2012
CN036817 	C3489398	21 Oct 2012
CN077622 	C0795806	21 Oct 2012
CN036923	C0795806	21 Oct 2012
CN073332	C0041408	21 Oct 2012
CN036802 	C2931557	21 Oct 2012
CN042972	C0012236	21 Oct 2012
CN043473	C1832243	21 Oct 2012
C3150800	C1858695	21 Oct 2012
C1863921	C0796081	21 Oct 2012
C1832433	C4552097	21 Oct 2012
CN130178 	C0745730	21 Oct 2012
CN072649	C0032580	21 Oct 2012
CN068515	C1846862	21 Oct 2012
CN125028 	C0024454	27 Oct 2012
CN159247 	C1866259	28 Oct 2012
CN072516	CN236709	29 Oct 2012
CN159248 	C3553549	30 Oct 2012
CN037413	C0007193	03 Nov 2012
CN032479 	C0036341	29 Nov 2012
CN130191 	C0476254	29 Nov 2012
CN074285	C0016751	05 Dec 2012
CN161012	C0220704	06 Dec 2012
CN161011	C4552078	06 Dec 2012
CN162962	C1865370	06 Dec 2012
CN163068	C0023473	13 Dec 2012
CN163070	C1854989	13 Dec 2012
CN163072 	C3554279	15 Dec 2012
CN163180 	C5400698	21 Dec 2012
CN163194	C0403814	26 Dec 2012
CN120382 	C0677776	29 Dec 2012
CN043598	CN202930	03 Jan 2013
CN130083 	C0001807	12 Jan 2013
CN073993 	C0432414	12 Jan 2013
CN130056 	C0476273	12 Jan 2013
C1861674 	C0270911	12 Jan 2013
CN074108 	C0013278	14 Jan 2013
CN077612 	C0022546	14 Jan 2013
C1857424 	C3806255	15 Jan 2013
CN164261	C0024408	15 Jan 2013
CN164262	C1832334	15 Jan 2013
CN164263	C1846564	15 Jan 2013
CN032419 	C3179455	15 Jan 2013
CN164265	C0031069	17 Jan 2013
CN120579 	C3280785	18 Jan 2013
CN117969 	C3275464	19 Jan 2013
CN077601 	C3887952	19 Jan 2013
CN159245	CN159246	19 Jan 2013
C2931207	C1848604	21 Jan 2013
CN071279	C0024796	24 Jan 2013
CN164381	C0342288	24 Jan 2013
CN163179 	C1397339	28 Jan 2013
CN164376	C3276096	28 Jan 2013
CN164736 	C4750953	03 Feb 2013
C1854414	C1832827	05 Feb 2013
CN165243 	C0432072	06 Feb 2013
CN165470 	C1838779	13 Feb 2013
CN165598	C2713442	14 Feb 2013
CN165599	C5399763	14 Feb 2013
CN068995	C0599990	14 Feb 2013
CN069294	C0342289	14 Feb 2013
CN069920	C3553940	14 Feb 2013
CN164370 	C5243475	15 Feb 2013
CN165606 	C0042847	17 Feb 2013
CN165624	C2676790	19 Feb 2013
CN165695	No longer reported	22 Feb 2013
CN165695	No longer reported	22 Feb 2013
C1852488	C1838347	22 Feb 2013
CN165697 	C0280100	23 Feb 2013
CN165690 	C0268980	23 Feb 2013
CN165685 	C4552766	23 Feb 2013
CN165684 	C0242647	23 Feb 2013
CN165683 	C0027022	23 Feb 2013
CN165682 	C0856053	23 Feb 2013
CN165681 	C0023448	23 Feb 2013
CN165801 	C2751492	01 Mar 2013
CN165714	C0010674	01 Mar 2013
CN165715	C0349788	01 Mar 2013
CN165799	C3160733	01 Mar 2013
CN165716	C0007193	02 Mar 2013
CN069293	C4551995	06 Mar 2013
CN166711	C0795864	08 Mar 2013
C1862138	C1862139	10 Mar 2013
C1860315	C1851943	11 Mar 2013
C2936777	C0268342	13 Mar 2013
CN071115	C0242292	14 Mar 2013
CN166796	C3280644	15 Mar 2013
CN166797 	C4510809	16 Mar 2013
CN166798	C2931073	16 Mar 2013
CN036972 	C0004238	17 Mar 2013
CN166805	C0012236	26 Mar 2013
CN117846 	C3280352	29 Mar 2013
CN165605	C4082171	31 Mar 2013
CN165608	C4551966	31 Mar 2013
CN165676	C0432072	01 Apr 2013
CN165680	C0157063	01 Apr 2013
CN165687 	C0008073	01 Apr 2013
CN165692 	C0549206	01 Apr 2013
CN165689 	C0004509	02 Apr 2013
CN043654	C1959582	03 Apr 2013
CN168514	C1844376	05 Apr 2013
CN032480 	C0543918	05 Apr 2013
CN069621 	C3468041	05 Apr 2013
CN165238 	C1846282	05 Apr 2013
CN143711 	C0423401	05 Apr 2013
CN128906 	No longer reported	05 Apr 2013
CN128905 	No longer reported	05 Apr 2013
CN123918 	C3281297	05 Apr 2013
CN123905 	C3281202	05 Apr 2013
CN123904 	C3281289	05 Apr 2013
CN123903 	C3281288	05 Apr 2013
CN123900 	C3281247	05 Apr 2013
CN123899 	C3281236	05 Apr 2013
CN123889 	C3281245	05 Apr 2013
CN123801 	C3281234	05 Apr 2013
CN123800 	C3281235	05 Apr 2013
CN123799 	C3281223	05 Apr 2013
CN123798 	C3280729	05 Apr 2013
CN123716 	C3281215	05 Apr 2013
CN123713 	C3281203	05 Apr 2013
CN123596 	C3280758	05 Apr 2013
CN123595 	C3280742	05 Apr 2013
CN123594 	C3281200	05 Apr 2013
CN123593 	C3281192	05 Apr 2013
CN123592 	C3281191	05 Apr 2013
CN122800 	C3281201	05 Apr 2013
CN122798 	C3281160	05 Apr 2013
CN122797 	C3281152	05 Apr 2013
CN122724 	C3281153	05 Apr 2013
CN122718 	C3275521	05 Apr 2013
CN122717 	C4551624	05 Apr 2013
CN122642 	C3281138	05 Apr 2013
CN122641 	C3281137	05 Apr 2013
CN122649 	C3281128	05 Apr 2013
CN122648 	C3281125	05 Apr 2013
CN122647 	C3281106	05 Apr 2013
CN122538 	C3281055	05 Apr 2013
CN122537 	C3281044	05 Apr 2013
CN122536 	C3281029	05 Apr 2013
CN122443 	C3281089	05 Apr 2013
CN122442 	C3281084	05 Apr 2013
CN122441 	C3280977	05 Apr 2013
CN122440 	C3275508	05 Apr 2013
CN122439 	C3281092	05 Apr 2013
CN121956 	C3280734	05 Apr 2013
CN121955 	C3280730	05 Apr 2013
CN121948 	C3281045	05 Apr 2013
CN121946 	C3469606	05 Apr 2013
CN121945 	C3469605	05 Apr 2013
CN121886 	C3281002	05 Apr 2013
CN121885 	C3280986	05 Apr 2013
CN121883 	C3281001	05 Apr 2013
CN121882 	C3280914	05 Apr 2013
CN121881 	C3280672	05 Apr 2013
CN121880 	C3280970	05 Apr 2013
CN121786 	C3280974	05 Apr 2013
CN121785 	C3280965	05 Apr 2013
CN121784 	C3280953	05 Apr 2013
CN121657 	C3280866	05 Apr 2013
CN121656 	C3280943	05 Apr 2013
CN121655 	C3280939	05 Apr 2013
CN121476 	C3280887	05 Apr 2013
CN121475 	C3280856	05 Apr 2013
CN121471 	C3280906	05 Apr 2013
CN121470 	C3280897	05 Apr 2013
CN120744 	C3280845	05 Apr 2013
CN120649 	C3280817	05 Apr 2013
CN120646 	C3280794	05 Apr 2013
CN120645 	C3275495	05 Apr 2013
CN120584 	C0265210	05 Apr 2013
CN120581 	C3280795	05 Apr 2013
CN120580 	C3280790	05 Apr 2013
CN120578 	C3280783	05 Apr 2013
CN120577 	C3280781	05 Apr 2013
CN120576 	C3280777	05 Apr 2013
CN120487 	C3280766	05 Apr 2013
CN120486 	C3280721	05 Apr 2013
CN120385 	C3280741	05 Apr 2013
CN120383 	C3888337	05 Apr 2013
CN120378 	C2828721	05 Apr 2013
CN119541 	C3280692	05 Apr 2013
CN119537 	C3280556	05 Apr 2013
CN119536 	C3280689	05 Apr 2013
CN119521 	C3280677	05 Apr 2013
CN119494 	C3280674	05 Apr 2013
CN119430 	C3280647	05 Apr 2013
CN119429 	C3280587	05 Apr 2013
CN119428 	C3280645	05 Apr 2013
CN119415 	C3280641	05 Apr 2013
CN119414 	C3280616	05 Apr 2013
CN119413 	C3280612	05 Apr 2013
CN119412 	C3280598	05 Apr 2013
CN119411 	C3280597	05 Apr 2013
CN119409 	C3280574	05 Apr 2013
CN119348 	C3280582	05 Apr 2013
CN118883 	C3280545	05 Apr 2013
CN118882 	C3280544	05 Apr 2013
CN118881 	C3280543	05 Apr 2013
CN118880 	C3280542	05 Apr 2013
CN118879 	C3280541	05 Apr 2013
CN118878 	C3280540	05 Apr 2013
CN118877 	C3280539	05 Apr 2013
CN118876 	C3280538	05 Apr 2013
CN118875 	C1843504	05 Apr 2013
CN118874 	C3280525	05 Apr 2013
CN118873 	C3280523	05 Apr 2013
CN118814 	C3280527	05 Apr 2013
CN118813 	C3808494	05 Apr 2013
CN118812 	C3280492	05 Apr 2013
CN118735 	C3280501	05 Apr 2013
CN118025 	C3280489	05 Apr 2013
CN118024 	C3280471	05 Apr 2013
CN118021 	C3280452	05 Apr 2013
CN118019 	C3280441	05 Apr 2013
CN118018 	C3280440	05 Apr 2013
CN118017 	C3280439	05 Apr 2013
CN117975 	C3280415	05 Apr 2013
CN117974 	C3275487	05 Apr 2013
CN117973 	C3275476	05 Apr 2013
CN117971 	C3275471	05 Apr 2013
CN117967 	C3280392	05 Apr 2013
CN117965 	C3280402	05 Apr 2013
CN117851 	C4706555	05 Apr 2013
CN117850 	C3280378	05 Apr 2013
CN117849 	C3280371	05 Apr 2013
CN117847 	C3280355	05 Apr 2013
CN117845 	C3280346	05 Apr 2013
CN117841 	C3280275	05 Apr 2013
CN116432 	C3280314	05 Apr 2013
CN116431 	C3280309	05 Apr 2013
CN116430 	C3280296	05 Apr 2013
CN116429 	C3280285	05 Apr 2013
CN116428 	C3280284	05 Apr 2013
CN116427 	C5393830	05 Apr 2013
CN116426 	C3280271	05 Apr 2013
CN116425 	C3280160	05 Apr 2013
CN116424 	C3275460	05 Apr 2013
CN079032 	C2931783	05 Apr 2013
CN079029 	C3280282	05 Apr 2013
CN079009 	C3280266	05 Apr 2013
CN079008 	C3280265	05 Apr 2013
CN079007 	C3275459	05 Apr 2013
CN079003 	C3280253	05 Apr 2013
CN079002 	C3280252	05 Apr 2013
CN078995 	C2681535	05 Apr 2013
CN078991 	C3280240	05 Apr 2013
CN078990 	C3280231	05 Apr 2013
CN078935 	C3280226	05 Apr 2013
CN078934 	C3280220	05 Apr 2013
CN078933 	C3280215	05 Apr 2013
CN078932 	C3280168	05 Apr 2013
CN078930 	C3280216	05 Apr 2013
CN078929 	C3887930	05 Apr 2013
CN078928 	C3275446	05 Apr 2013
CN078926 	C3280214	05 Apr 2013
CN078925 	C3280203	05 Apr 2013
CN078924 	C3279614	05 Apr 2013
CN078923 	C3280205	05 Apr 2013
CN078922 	C3280120	05 Apr 2013
CN078921 	C3280114	05 Apr 2013
CN078919 	C3280100	05 Apr 2013
CN078918 	C3280113	05 Apr 2013
CN078917 	C3280154	05 Apr 2013
CN078916 	C3280153	05 Apr 2013
CN078915 	C3280204	05 Apr 2013
CN078914 	C3275458	05 Apr 2013
CN078877 	C3280202	05 Apr 2013
CN078876 	C3280201	05 Apr 2013
CN078875 	C3280182	05 Apr 2013
CN078806 	C3280036	05 Apr 2013
CN078805 	C3280133	05 Apr 2013
CN078804 	C3280156	05 Apr 2013
CN078803 	C3280155	05 Apr 2013
CN078802 	C3280127	05 Apr 2013
CN078799 	C3280065	05 Apr 2013
CN078796 	C3280146	05 Apr 2013
CN078218 	C3280073	05 Apr 2013
CN078138 	C3280062	05 Apr 2013
CN078137 	C3280054	05 Apr 2013
CN078136 	C3280031	05 Apr 2013
CN078135 	C3279948	05 Apr 2013
CN078134 	C3280042	05 Apr 2013
CN078132 	C3280041	05 Apr 2013
CN078039 	C3280030	05 Apr 2013
CN078038 	C3280026	05 Apr 2013
CN078037 	C3280011	05 Apr 2013
CN078035 	C3279997	05 Apr 2013
CN078034 	C3279996	05 Apr 2013
CN078033 	C3279992	05 Apr 2013
CN078032 	C3279964	05 Apr 2013
CN077936 	C0406443	05 Apr 2013
CN077935 	C1859252	05 Apr 2013
CN077933 	C3279947	05 Apr 2013
CN077932 	C3279990	05 Apr 2013
CN077930 	C3275445	05 Apr 2013
CN077716 	C3279690	05 Apr 2013
CN077714 	C3279839	05 Apr 2013
CN077713 	C3279842	05 Apr 2013
CN077711 	C3836857	05 Apr 2013
CN077708 	C3279824	05 Apr 2013
CN077707 	C3888031	05 Apr 2013
CN077703 	C3279627	05 Apr 2013
CN077699 	C3279754	05 Apr 2013
CN077692 	C3279885	05 Apr 2013
